"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 20, 2020","8,182.22","7,980.94","8,544.44","7,980.94","-","2.52%"
"Mar 19, 2020","7,980.94","7,907.93","8,101.91","7,567.84","-","0.92%"
"Mar 18, 2020","7,907.93","8,386.21","8,386.21","7,528.32","-","-5.70%"
"Mar 17, 2020","8,386.21","8,483.79","8,786.23","7,998.95","-","-1.15%"
"Mar 16, 2020","8,483.79","9,219.32","9,223.06","7,911.91","-","-7.98%"
"Mar 13, 2020","9,219.32","8,957.83","9,751.48","8,957.83","-","2.92%"
"Mar 12, 2020","8,957.83","10,141.92","10,141.92","8,921.90","-","-11.68%"
"Mar 11, 2020","10,141.92","10,264.12","10,486.14","10,086.70","-","-1.19%"
"Mar 10, 2020","10,264.12","10,273.78","10,688.73","10,213.50","-","-0.09%"
"Mar 09, 2020","10,273.78","11,157.96","11,157.96","10,150.15","-","-7.92%"
"Mar 06, 2020","11,157.96","11,667.25","11,667.25","11,057.00","-","-4.37%"
"Mar 05, 2020","11,667.25","11,964.70","12,098.54","11,592.51","-","-2.49%"
"Mar 04, 2020","11,964.70","11,900.80","12,094.95","11,840.55","-","0.54%"
"Mar 03, 2020","11,900.80","11,709.09","12,087.62","11,709.09","-","1.64%"
"Mar 02, 2020","11,709.09","11,654.80","12,030.39","11,456.62","-","0.47%"
"Feb 28, 2020","11,654.80","12,042.57","12,042.57","11,464.85","-","-3.22%"
"Feb 27, 2020","12,042.57","12,579.32","12,579.32","11,910.03","-","-4.27%"
"Feb 26, 2020","12,579.32","12,588.00","12,589.61","12,104.53","-","-0.07%"
"Feb 25, 2020","12,588.00","12,856.87","12,985.37","12,564.38","-","-2.09%"
"Feb 24, 2020","12,856.87","13,307.30","13,307.30","12,743.07","-","-3.38%"
"Feb 21, 2020","13,307.30","13,320.92","13,419.96","13,232.01","-","-0.10%"
"Feb 20, 2020","13,320.92","13,402.36","13,463.95","13,320.92","-","-0.61%"
"Feb 19, 2020","13,402.36","13,178.14","13,402.36","13,178.14","-","1.70%"
"Feb 18, 2020","13,178.14","13,233.74","13,235.67","13,099.21","-","-0.42%"
"Feb 17, 2020","13,233.74","13,164.46","13,290.59","13,164.46","-","0.53%"
"Feb 14, 2020","13,164.46","13,132.05","13,191.64","13,099.36","-","0.25%"
"Feb 13, 2020","13,132.05","13,198.59","13,198.59","12,990.64","-","-0.50%"
"Feb 12, 2020","13,198.59","13,129.64","13,198.59","13,102.76","-","0.53%"
"Feb 11, 2020","13,129.64","13,015.56","13,156.62","13,015.56","-","0.88%"
"Feb 10, 2020","13,015.56","13,013.07","13,060.34","12,936.44","-","0.02%"
