"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 20, 2020","83.86","83.41","87.58","83.15","-","0.54%"
"Mar 19, 2020","83.41","82.19","83.83","80.12","-","1.48%"
"Mar 18, 2020","82.19","85.43","85.43","80.81","-","-3.79%"
"Mar 17, 2020","85.43","82.77","85.44","80.49","-","3.21%"
"Mar 16, 2020","82.77","85.77","85.77","78.62","-","-3.50%"
"Mar 13, 2020","85.77","83.81","90.88","83.81","-","2.60%"
"Mar 12, 2020","83.60","93.59","93.59","83.60","-","-10.67%"
"Mar 11, 2020","93.59","94.75","96.72","93.40","-","-1.22%"
"Mar 10, 2020","94.75","94.97","98.85","94.29","-","-0.23%"
"Mar 09, 2020","94.97","102.66","102.66","93.90","-","-7.49%"
"Mar 06, 2020","102.66","106.52","106.52","102.28","-","-3.62%"
"Mar 05, 2020","106.52","108.01","108.31","105.72","-","-1.38%"
"Mar 04, 2020","108.01","106.24","108.47","106.06","-","1.67%"
"Mar 03, 2020","106.24","105.41","108.20","105.41","-","0.79%"
"Mar 02, 2020","105.41","104.10","107.18","102.97","-","1.26%"
"Feb 28, 2020","104.10","107.57","107.57","102.22","-","-3.22%"
"Feb 27, 2020","107.56","111.38","111.38","106.63","-","-3.43%"
"Feb 26, 2020","111.38","110.85","111.41","108.69","-","0.48%"
"Feb 25, 2020","110.85","112.98","390.15","110.68","-","-1.89%"
"Feb 24, 2020","112.98","116.72","116.72","112.29","-","-3.20%"
"Feb 21, 2020","116.72","117.20","117.20","116.21","-","-0.41%"
"Feb 20, 2020","117.20","117.46","117.89","117.20","-","-0.22%"
"Feb 19, 2020","117.46","116.34","117.60","116.34","-","0.96%"
"Feb 18, 2020","116.34","117.11","118.28","115.81","-","-0.66%"
"Feb 17, 2020","117.11","116.66","117.33","116.66","-","0.39%"
"Feb 14, 2020","116.66","117.49","117.79","116.62","-","-0.71%"
"Feb 13, 2020","117.49","118.64","118.64","116.73","-","-0.97%"
"Feb 12, 2020","118.64","118.25","118.85","118.25","-","0.33%"
"Feb 11, 2020","118.25","117.60","118.78","117.60","-","0.55%"
"Feb 10, 2020","117.60","117.97","117.97","117.32","-","-0.31%"
"Feb 07, 2020","117.97","118.54","118.54","117.60","-","-0.48%"
"Feb 06, 2020","118.54","118.01","118.77","118.01","-","0.45%"
"Feb 05, 2020","118.01","117.45","118.46","116.92","-","0.48%"
"Feb 04, 2020","117.45","115.57","117.49","115.57","-","1.63%"
"Feb 03, 2020","115.57","114.90","116.12","114.90","-","0.58%"
"Jan 31, 2020","114.90","116.36","116.51","114.73","-","-1.25%"
"Jan 30, 2020","116.36","117.90","117.90","115.97","-","-1.31%"
"Jan 29, 2020","117.90","117.83","118.35","117.55","-","0.06%"
"Jan 28, 2020","117.83","116.71","117.99","116.71","-","0.96%"
"Jan 27, 2020","116.71","119.41","119.41","116.33","-","-2.26%"
"Jan 24, 2020","119.41","118.16","120.32","118.16","-","1.06%"
"Jan 23, 2020","118.16","119.11","119.11","118.09","-","-0.80%"
"Jan 22, 2020","119.11","119.79","120.15","118.98","-","-0.57%"
"Jan 21, 2020","119.79","120.41","120.41","118.74","-","-0.51%"
"Jan 20, 2020","120.40","120.82","120.95","120.21","-","-0.35%"
"Jan 17, 2020","120.82","119.76","121.07","119.76","-","0.89%"
"Jan 16, 2020","119.76","120.32","120.40","119.51","-","-0.47%"
"Jan 15, 2020","120.32","119.91","120.32","119.73","-","0.34%"
"Jan 14, 2020","119.91","119.86","120.38","119.38","-","0.04%"
"Jan 13, 2020","119.86","119.42","120.17","119.28","-","0.37%"
"Jan 10, 2020","119.42","119.59","120.06","119.32","-","-0.14%"
"Jan 09, 2020","119.59","119.14","120.08","119.14","-","0.38%"
"Jan 08, 2020","119.14","119.03","119.20","118.32","-","0.09%"
"Jan 07, 2020","119.03","119.09","119.50","118.84","-","-0.04%"
"Jan 06, 2020","119.08","119.79","119.79","118.30","-","-0.59%"
"Jan 03, 2020","119.79","119.42","119.84","118.62","-","0.31%"
"Jan 02, 2020","119.42","118.49","119.76","118.49","-","0.78%"
"Jan 01, 2020","118.49","118.49","118.49","118.49","-","0.00%"
"Dec 31, 2019","118.49","119.21","119.21","118.33","-","-0.60%"
"Dec 30, 2019","119.21","120.19","120.19","119.21","-","-0.82%"
"Dec 27, 2019","120.19","120.03","120.56","119.83","-","0.13%"
"Dec 26, 2019","120.03","120.03","120.03","120.03","-","0.00%"
"Dec 25, 2019","120.03","120.03","120.03","120.03","-","0.00%"
"Dec 24, 2019","120.03","119.98","120.08","119.65","-","0.04%"
