file,mse,TP,FP,FN,TN,parameters,threshold_parameters,no_of_anomalies,first_label,length,first_label_ratio
lse_2009-07-24_2020-03-20-Volume.metric-Vol.csv,208733525189.19824,4.0,17.0,130.0,1950.0,ar=4;ma=3;training_ratio=0.11249999999999999,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.04249773345421577;,0.0,2486.0,2486.0,1.0
lse_2009-07-24_2020-03-20-Volume.metric-Close.csv,4935.951272,0.0,0.0,134.0,1967.0,ar=3;ma=0;training_ratio=0.11249999999999999,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.04249773345421577;,0.0,2486.0,2486.0,1.0
lse_2009-07-24_2020-03-20-Volume.metric-Open.csv,4905.711706,0.0,0.0,134.0,1967.0,ar=3;ma=0;training_ratio=0.11249999999999999,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.04249773345421577;,0.0,2486.0,2486.0,1.0
lse_2009-07-24_2020-03-20-Volume.metric-High.csv,5319.4462539999995,0.0,0.0,134.0,1967.0,ar=4;ma=0;training_ratio=0.11249999999999999,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.04249773345421577;,0.0,2486.0,2486.0,1.0
lse_2009-07-24_2020-03-20-Volume.metric-Low.csv,4868.675375,0.0,0.0,134.0,1967.0,ar=4;ma=3;training_ratio=0.11249999999999999,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.04249773345421577;,0.0,2486.0,2486.0,1.0
lse_2009-07-24_2020-03-20.metric-Vol.csv,269588767286.29065,0.0,0.0,141.0,2140.0,ar=4;ma=3;training_ratio=0.11249999999999999,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.04241408214585079;,0.0,2689.0,2689.0,1.0
lse_2009-07-24_2020-03-20.metric-Close.csv,4908.622368,0.0,0.0,141.0,2140.0,ar=4;ma=0;training_ratio=0.11249999999999999,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.04241408214585079;,0.0,2689.0,2689.0,1.0
lse_2009-07-24_2020-03-20.metric-Open.csv,4887.782445000001,0.0,0.0,141.0,2140.0,ar=4;ma=0;training_ratio=0.11249999999999999,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.04241408214585079;,0.0,2689.0,2689.0,1.0
lse_2009-07-24_2020-03-20.metric-High.csv,5269.107835,0.0,0.0,141.0,2140.0,ar=4;ma=0;training_ratio=0.11249999999999999,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.04241408214585079;,0.0,2689.0,2689.0,1.0
lse_2009-07-24_2020-03-20.metric-Low.csv,4846.328818,0.0,0.0,141.0,2140.0,ar=4;ma=3;training_ratio=0.11249999999999999,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.04241408214585079;,0.0,2689.0,2689.0,1.0
