timestamp,value,prediction_training,prediction,label,warp_distance,threshold_training,distance_threshold,positive_detection,label_title,label_url,label_source
2010-05-21,648.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,,,
2010-05-24,640.8,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,,,
2010-05-25,618.8,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,,,
2010-05-26,621.5,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,,,
2010-05-27,645.5,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,,,
2010-05-28,642.5,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,,,
2010-06-01,637.5,1.0,0.0,1.0,0.0,0.0,-1.0,0.0,,,
2010-06-02,648.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,,,
2010-06-03,648.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,,,
2010-06-04,643.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,,,
2010-06-07,613.8,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,,,
2010-06-08,614.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,,,
2010-06-09,604.8,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,,,
2010-06-10,603.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,,,
2010-06-11,618.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,,,
2010-06-14,626.5,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,,,
2010-06-15,645.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,,,
2010-06-16,645.3,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,,,
2010-06-17,641.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,,,
2010-06-18,640.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,,,
2010-06-21,647.3,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,,,
2010-06-22,641.5,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,,,
