file,mse,TP,FP,FN,TN,parameters,threshold_parameters,no_of_anomalies,first_label,length,first_label_ratio
FTSE100.metric-Vol.csv,7.825655852421395e+17,0.0,0.0,0.0,2486.0,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=30;DL2units=15;DL3units=1;epochs=10;batch_size=1;training_ratio=0.11249999999999999;sequance_length=30;learningRate=0.001,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.042546443135478014;,0.0,2486.0,2486.0,1.0
FTSE100.metric-Close.csv,160055.30998599998,0.0,5.0,0.0,2481.0,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=30;DL2units=15;DL3units=1;epochs=10;batch_size=1;training_ratio=0.11249999999999999;sequance_length=30;learningRate=0.001,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.042546443135478014;,0.0,2486.0,2486.0,1.0
FTSE100.metric-Open.csv,28366.149245999997,0.0,0.0,0.0,2486.0,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=30;DL2units=15;DL3units=1;epochs=10;batch_size=1;training_ratio=0.11249999999999999;sequance_length=30;learningRate=0.001,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.042546443135478014;,0.0,2486.0,2486.0,1.0
FTSE100.metric-High.csv,109654.657168,0.0,2.0,0.0,2484.0,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=30;DL2units=15;DL3units=1;epochs=10;batch_size=1;training_ratio=0.11249999999999999;sequance_length=30;learningRate=0.001,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.042546443135478014;,0.0,2486.0,2486.0,1.0
FTSE100.metric-Low.csv,50492.784586,0.0,0.0,0.0,2486.0,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=30;DL2units=15;DL3units=1;epochs=10;batch_size=1;training_ratio=0.11249999999999999;sequance_length=30;learningRate=0.001,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.042546443135478014;,0.0,2486.0,2486.0,1.0
FTSE350.metric-Vol.csv,778448646649039.5,0.0,0.0,0.0,0.0,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=30;DL2units=15;DL3units=1;epochs=10;batch_size=1;training_ratio=0.11249999999999999;sequance_length=30;learningRate=0.001,,0.0,0.0,0.0,0.0
FTSE350.metric-Close.csv,61007.663176,0.0,0.0,0.0,0.0,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=30;DL2units=15;DL3units=1;epochs=10;batch_size=1;training_ratio=0.11249999999999999;sequance_length=30;learningRate=0.001,,0.0,0.0,0.0,0.0
FTSE350.metric-Open.csv,32198.356816000003,0.0,0.0,0.0,0.0,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=30;DL2units=15;DL3units=1;epochs=10;batch_size=1;training_ratio=0.11249999999999999;sequance_length=30;learningRate=0.001,,0.0,0.0,0.0,0.0
FTSE350.metric-High.csv,11361.44156,0.0,0.0,0.0,0.0,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=30;DL2units=15;DL3units=1;epochs=10;batch_size=1;training_ratio=0.11249999999999999;sequance_length=30;learningRate=0.001,,0.0,0.0,0.0,0.0
FTSE350.metric-Low.csv,8555.342398,0.0,0.0,0.0,0.0,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=30;DL2units=15;DL3units=1;epochs=10;batch_size=1;training_ratio=0.11249999999999999;sequance_length=30;learningRate=0.001,,0.0,0.0,0.0,0.0
FTSE350FinancialServices.metric-Vol.csv,0.0,0.0,0.0,0.0,0.0,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=30;DL2units=15;DL3units=1;epochs=10;batch_size=1;training_ratio=0.11249999999999999;sequance_length=30;learningRate=0.001,,0.0,0.0,0.0,0.0
FTSE350FinancialServices.metric-Close.csv,34650.501385,0.0,0.0,0.0,0.0,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=30;DL2units=15;DL3units=1;epochs=10;batch_size=1;training_ratio=0.11249999999999999;sequance_length=30;learningRate=0.001,,0.0,0.0,0.0,0.0
FTSE350FinancialServices.metric-Open.csv,241087.23785799998,0.0,0.0,0.0,0.0,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=30;DL2units=15;DL3units=1;epochs=10;batch_size=1;training_ratio=0.11249999999999999;sequance_length=30;learningRate=0.001,,0.0,0.0,0.0,0.0
FTSE350FinancialServices.metric-High.csv,185406.88386099998,0.0,0.0,0.0,0.0,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=30;DL2units=15;DL3units=1;epochs=10;batch_size=1;training_ratio=0.11249999999999999;sequance_length=30;learningRate=0.001,,0.0,0.0,0.0,0.0
FTSE350FinancialServices.metric-Low.csv,545510.2097550001,0.0,0.0,0.0,0.0,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=30;DL2units=15;DL3units=1;epochs=10;batch_size=1;training_ratio=0.11249999999999999;sequance_length=30;learningRate=0.001,,0.0,0.0,0.0,0.0
TRUK50.metric-Vol.csv,0.0,0.0,0.0,0.0,0.0,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=30;DL2units=15;DL3units=1;epochs=10;batch_size=1;training_ratio=0.11249999999999999;sequance_length=30;learningRate=0.001,,0.0,0.0,0.0,0.0
TRUK50.metric-Close.csv,7.5883270000000005,0.0,0.0,0.0,0.0,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=30;DL2units=15;DL3units=1;epochs=10;batch_size=1;training_ratio=0.11249999999999999;sequance_length=30;learningRate=0.001,,0.0,0.0,0.0,0.0
TRUK50.metric-Open.csv,30.33261,0.0,0.0,0.0,0.0,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=30;DL2units=15;DL3units=1;epochs=10;batch_size=1;training_ratio=0.11249999999999999;sequance_length=30;learningRate=0.001,,0.0,0.0,0.0,0.0
TRUK50.metric-High.csv,43.950495000000004,0.0,0.0,0.0,0.0,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=30;DL2units=15;DL3units=1;epochs=10;batch_size=1;training_ratio=0.11249999999999999;sequance_length=30;learningRate=0.001,,0.0,0.0,0.0,0.0
TRUK50.metric-Low.csv,3.744217,0.0,0.0,0.0,0.0,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=30;DL2units=15;DL3units=1;epochs=10;batch_size=1;training_ratio=0.11249999999999999;sequance_length=30;learningRate=0.001,,0.0,0.0,0.0,0.0
UK100.metric-Vol.csv,0.0,0.0,0.0,0.0,2485.0,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=30;DL2units=15;DL3units=1;epochs=10;batch_size=1;training_ratio=0.11249999999999999;sequance_length=30;learningRate=0.001,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.04249773345421577;,0.0,2486.0,2486.0,1.0
UK100.metric-Close.csv,941.254778,0.0,0.0,0.0,2485.0,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=30;DL2units=15;DL3units=1;epochs=10;batch_size=1;training_ratio=0.11249999999999999;sequance_length=30;learningRate=0.001,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.04249773345421577;,0.0,2486.0,2486.0,1.0
UK100.metric-Open.csv,450.885681,0.0,0.0,0.0,2485.0,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=30;DL2units=15;DL3units=1;epochs=10;batch_size=1;training_ratio=0.11249999999999999;sequance_length=30;learningRate=0.001,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.04249773345421577;,0.0,2486.0,2486.0,1.0
UK100.metric-High.csv,346.48874900000015,0.0,0.0,0.0,2485.0,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=30;DL2units=15;DL3units=1;epochs=10;batch_size=1;training_ratio=0.11249999999999999;sequance_length=30;learningRate=0.001,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.04249773345421577;,0.0,2486.0,2486.0,1.0
UK100.metric-Low.csv,1333.074041,0.0,0.0,0.0,2485.0,CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;DL1units=30;DL2units=15;DL3units=1;epochs=10;batch_size=1;training_ratio=0.11249999999999999;sequance_length=30;learningRate=0.001,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.04249773345421577;,0.0,2486.0,2486.0,1.0
