file,mse,TP,FP,FN,TN,parameters,threshold_parameters,no_of_anomalies,first_label,length,first_label_ratio
FTSE100.metric-Vol.csv,6.668911462584648e+17,0.0,0.0,0.0,2486.0,lstmCells=10;learningRate=0.001;epochs=10;batch_size=1;training_ratio=0.11249999999999999;sequance_length=30,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.042546443135478014;,0.0,2486.0,2486.0,1.0
FTSE100.metric-Close.csv,44977275.39883901,0.0,0.0,0.0,2486.0,lstmCells=10;learningRate=0.001;epochs=10;batch_size=1;training_ratio=0.11249999999999999;sequance_length=30,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.042546443135478014;,0.0,2486.0,2486.0,1.0
FTSE100.metric-Open.csv,44925979.249706,0.0,0.0,0.0,2486.0,lstmCells=10;learningRate=0.001;epochs=10;batch_size=1;training_ratio=0.11249999999999999;sequance_length=30,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.042546443135478014;,0.0,2486.0,2486.0,1.0
FTSE100.metric-High.csv,45428654.345689,0.0,0.0,0.0,2486.0,lstmCells=10;learningRate=0.001;epochs=10;batch_size=1;training_ratio=0.11249999999999999;sequance_length=30,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.042546443135478014;,0.0,2486.0,2486.0,1.0
FTSE100.metric-Low.csv,44438068.431575,0.0,0.0,0.0,2486.0,lstmCells=10;learningRate=0.001;epochs=10;batch_size=1;training_ratio=0.11249999999999999;sequance_length=30,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.042546443135478014;,0.0,2486.0,2486.0,1.0
FTSE350.metric-Vol.csv,1.211339774801675e+16,0.0,0.0,0.0,0.0,lstmCells=10;learningRate=0.001;epochs=10;batch_size=1;training_ratio=0.11249999999999999;sequance_length=30,,0.0,0.0,0.0,0.0
FTSE350.metric-Close.csv,14262933.907246,0.0,0.0,0.0,0.0,lstmCells=10;learningRate=0.001;epochs=10;batch_size=1;training_ratio=0.11249999999999999;sequance_length=30,,0.0,0.0,0.0,0.0
FTSE350.metric-Open.csv,14239034.444797,0.0,0.0,0.0,0.0,lstmCells=10;learningRate=0.001;epochs=10;batch_size=1;training_ratio=0.11249999999999999;sequance_length=30,,0.0,0.0,0.0,0.0
FTSE350.metric-High.csv,14383228.288323002,0.0,0.0,0.0,0.0,lstmCells=10;learningRate=0.001;epochs=10;batch_size=1;training_ratio=0.11249999999999999;sequance_length=30,,0.0,0.0,0.0,0.0
FTSE350.metric-Low.csv,14026983.151370002,0.0,0.0,0.0,0.0,lstmCells=10;learningRate=0.001;epochs=10;batch_size=1;training_ratio=0.11249999999999999;sequance_length=30,,0.0,0.0,0.0,0.0
FTSE350FinancialServices.metric-Vol.csv,0.0,0.0,0.0,0.0,0.0,lstmCells=10;learningRate=0.001;epochs=10;batch_size=1;training_ratio=0.11249999999999999;sequance_length=30,,0.0,0.0,0.0,0.0
FTSE350FinancialServices.metric-Close.csv,86839721.87444301,0.0,0.0,0.0,0.0,lstmCells=10;learningRate=0.001;epochs=10;batch_size=1;training_ratio=0.11249999999999999;sequance_length=30,,0.0,0.0,0.0,0.0
FTSE350FinancialServices.metric-Open.csv,86778574.704081,0.0,0.0,0.0,0.0,lstmCells=10;learningRate=0.001;epochs=10;batch_size=1;training_ratio=0.11249999999999999;sequance_length=30,,0.0,0.0,0.0,0.0
FTSE350FinancialServices.metric-High.csv,88094575.150765,0.0,0.0,0.0,0.0,lstmCells=10;learningRate=0.001;epochs=10;batch_size=1;training_ratio=0.11249999999999999;sequance_length=30,,0.0,0.0,0.0,0.0
