file,mse,TP,FP,FN,TN,parameters,threshold_parameters,no_of_anomalies,first_label,length,first_label_ratio
lse_2009-07-24_2020-03-20-Volume.metric-Vol.csv,687899014328.6754,2.0,7.0,132.0,1960.0,lstmCells=10;learningRate=0.001;epochs=10;batch_size=1;training_ratio=0.11249999999999999;sequance_length=30,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.04249773345421577;,0.0,2486.0,2486.0,1.0
lse_2009-07-24_2020-03-20-Volume.metric-Close.csv,11411929.969526,119.0,874.0,15.0,1093.0,lstmCells=10;learningRate=0.001;epochs=10;batch_size=1;training_ratio=0.11249999999999999;sequance_length=30,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.04249773345421577;,0.0,2486.0,2486.0,1.0
lse_2009-07-24_2020-03-20-Volume.metric-Open.csv,11410335.257447,119.0,873.0,15.0,1094.0,lstmCells=10;learningRate=0.001;epochs=10;batch_size=1;training_ratio=0.11249999999999999;sequance_length=30,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.04249773345421577;,0.0,2486.0,2486.0,1.0
lse_2009-07-24_2020-03-20-Volume.metric-High.csv,11646284.991941001,119.0,874.0,15.0,1093.0,lstmCells=10;learningRate=0.001;epochs=10;batch_size=1;training_ratio=0.11249999999999999;sequance_length=30,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.04249773345421577;,0.0,2486.0,2486.0,1.0
lse_2009-07-24_2020-03-20-Volume.metric-Low.csv,11182771.948664999,119.0,873.0,15.0,1094.0,lstmCells=10;learningRate=0.001;epochs=10;batch_size=1;training_ratio=0.11249999999999999;sequance_length=30,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.04249773345421577;,0.0,2486.0,2486.0,1.0
lse_2009-07-24_2020-03-20.metric-Vol.csv,777664827600.6667,0.0,0.0,141.0,2140.0,lstmCells=10;learningRate=0.001;epochs=10;batch_size=1;training_ratio=0.11249999999999999;sequance_length=30,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.04241408214585079;,0.0,2689.0,2689.0,1.0
lse_2009-07-24_2020-03-20.metric-Close.csv,10557364.742817,121.0,955.0,20.0,1185.0,lstmCells=10;learningRate=0.001;epochs=10;batch_size=1;training_ratio=0.11249999999999999;sequance_length=30,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.04241408214585079;,0.0,2689.0,2689.0,1.0
lse_2009-07-24_2020-03-20.metric-Open.csv,10530120.399198,121.0,940.0,20.0,1200.0,lstmCells=10;learningRate=0.001;epochs=10;batch_size=1;training_ratio=0.11249999999999999;sequance_length=30,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.04241408214585079;,0.0,2689.0,2689.0,1.0
lse_2009-07-24_2020-03-20.metric-High.csv,10758087.103767999,121.0,916.0,20.0,1224.0,lstmCells=10;learningRate=0.001;epochs=10;batch_size=1;training_ratio=0.11249999999999999;sequance_length=30,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.04241408214585079;,0.0,2689.0,2689.0,1.0
lse_2009-07-24_2020-03-20.metric-Low.csv,10355618.826861,121.0,952.0,20.0,1188.0,lstmCells=10;learningRate=0.001;epochs=10;batch_size=1;training_ratio=0.11249999999999999;sequance_length=30,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.04241408214585079;,0.0,2689.0,2689.0,1.0
