file,mse,TP,FP,FN,TN,parameters,threshold_parameters,no_of_anomalies,first_label,length,first_label_ratio
lse_2009-07-24_2020-03-20-Volume.metric-Vol.csv,313587073198.2584,3.0,9.0,131.0,1958.0,lstmWeight=0.5;cnnWeight=0.5;lstmCells=10;LSTMDL1units=30;LSTML2units=15;LSTMDL3units=1;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=30;CNNDL2units=15;CNNDL3units=1;epochs=10;batch_size=1;training_ratio=0.11249999999999999;sequance_length=30;learningRate=0.001,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.04249773345421577;,0.0,2486.0,2486.0,1.0
lse_2009-07-24_2020-03-20-Volume.metric-Close.csv,2734562.859371,119.0,848.0,15.0,1119.0,lstmWeight=0.5;cnnWeight=0.5;lstmCells=10;LSTMDL1units=30;LSTML2units=15;LSTMDL3units=1;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=30;CNNDL2units=15;CNNDL3units=1;epochs=10;batch_size=1;training_ratio=0.11249999999999999;sequance_length=30;learningRate=0.001,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.04249773345421577;,0.0,2486.0,2486.0,1.0
lse_2009-07-24_2020-03-20-Volume.metric-Open.csv,2753778.573019,119.0,806.0,15.0,1161.0,lstmWeight=0.5;cnnWeight=0.5;lstmCells=10;LSTMDL1units=30;LSTML2units=15;LSTMDL3units=1;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=30;CNNDL2units=15;CNNDL3units=1;epochs=10;batch_size=1;training_ratio=0.11249999999999999;sequance_length=30;learningRate=0.001,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.04249773345421577;,0.0,2486.0,2486.0,1.0
lse_2009-07-24_2020-03-20-Volume.metric-High.csv,3191186.861288,119.0,859.0,15.0,1108.0,lstmWeight=0.5;cnnWeight=0.5;lstmCells=10;LSTMDL1units=30;LSTML2units=15;LSTMDL3units=1;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=30;CNNDL2units=15;CNNDL3units=1;epochs=10;batch_size=1;training_ratio=0.11249999999999999;sequance_length=30;learningRate=0.001,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.04249773345421577;,0.0,2486.0,2486.0,1.0
lse_2009-07-24_2020-03-20-Volume.metric-Low.csv,2660646.5335830003,119.0,816.0,15.0,1151.0,lstmWeight=0.5;cnnWeight=0.5;lstmCells=10;LSTMDL1units=30;LSTML2units=15;LSTMDL3units=1;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=30;CNNDL2units=15;CNNDL3units=1;epochs=10;batch_size=1;training_ratio=0.11249999999999999;sequance_length=30;learningRate=0.001,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.04249773345421577;,0.0,2486.0,2486.0,1.0
lse_2009-07-24_2020-03-20.metric-Vol.csv,477856570600.3312,0.0,0.0,141.0,2140.0,lstmWeight=0.5;cnnWeight=0.5;lstmCells=10;LSTMDL1units=30;LSTML2units=15;LSTMDL3units=1;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=30;CNNDL2units=15;CNNDL3units=1;epochs=10;batch_size=1;training_ratio=0.11249999999999999;sequance_length=30;learningRate=0.001,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.04241408214585079;,0.0,2689.0,2689.0,1.0
lse_2009-07-24_2020-03-20.metric-Close.csv,2586552.530422,121.0,934.0,20.0,1206.0,lstmWeight=0.5;cnnWeight=0.5;lstmCells=10;LSTMDL1units=30;LSTML2units=15;LSTMDL3units=1;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=30;CNNDL2units=15;CNNDL3units=1;epochs=10;batch_size=1;training_ratio=0.11249999999999999;sequance_length=30;learningRate=0.001,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.04241408214585079;,0.0,2689.0,2689.0,1.0
lse_2009-07-24_2020-03-20.metric-Open.csv,2426321.630496,120.0,904.0,21.0,1236.0,lstmWeight=0.5;cnnWeight=0.5;lstmCells=10;LSTMDL1units=30;LSTML2units=15;LSTMDL3units=1;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=30;CNNDL2units=15;CNNDL3units=1;epochs=10;batch_size=1;training_ratio=0.11249999999999999;sequance_length=30;learningRate=0.001,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.04241408214585079;,0.0,2689.0,2689.0,1.0
lse_2009-07-24_2020-03-20.metric-High.csv,2545707.042118,119.0,896.0,22.0,1244.0,lstmWeight=0.5;cnnWeight=0.5;lstmCells=10;LSTMDL1units=30;LSTML2units=15;LSTMDL3units=1;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=30;CNNDL2units=15;CNNDL3units=1;epochs=10;batch_size=1;training_ratio=0.11249999999999999;sequance_length=30;learningRate=0.001,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.04241408214585079;,0.0,2689.0,2689.0,1.0
lse_2009-07-24_2020-03-20.metric-Low.csv,2561244.684269,121.0,917.0,20.0,1223.0,lstmWeight=0.5;cnnWeight=0.5;lstmCells=10;LSTMDL1units=30;LSTML2units=15;LSTMDL3units=1;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=30;CNNDL2units=15;CNNDL3units=1;epochs=10;batch_size=1;training_ratio=0.11249999999999999;sequance_length=30;learningRate=0.001,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.04241408214585079;,0.0,2689.0,2689.0,1.0
