timestamp,value,prediction_training,prediction,label,warp_distance,threshold_training,distance_threshold,positive_detection
"Mar 19, 2020",5870.4,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Mar 18, 2020",5806.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Mar 17, 2020",6174.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Mar 16, 2020",6312.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Mar 13, 2020",6794.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Mar 12, 2020",6356.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Mar 11, 2020",7036.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Mar 10, 2020",7036.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Mar 09, 2020",7246.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Mar 06, 2020",7592.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Mar 05, 2020",8030.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Mar 04, 2020",7994.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Mar 03, 2020",7864.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Mar 02, 2020",7888.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Feb 28, 2020",7576.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Feb 27, 2020",7810.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Feb 26, 2020",8076.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Feb 25, 2020",8072.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Feb 24, 2020",8300.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Feb 21, 2020",8422.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Feb 20, 2020",8416.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Feb 19, 2020",8542.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
"Feb 18, 2020",8350.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
