file,mse,TP,FP,FN,TN,parameters,threshold_parameters,no_of_anomalies,first_label,length,first_label_ratio
LSE Historical Data 2009.metric-Price.csv,17471.560105,0.0,0.0,0.0,2687.0,lstmWeight=0.5;cnnWeight=0.5;lstmCells=10;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=30;CNNDL2units=15;CNNDL3units=1;epochs=10;batch_size=1;training_ratio=0.11249999999999999;sequance_length=30;learningRate=0.001,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.042368972746331245;,0.0,2688.0,2688.0,1.0
LSE Historical Data 2009.metric-Open.csv,5380.447051,0.0,0.0,0.0,2687.0,lstmWeight=0.5;cnnWeight=0.5;lstmCells=10;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=30;CNNDL2units=15;CNNDL3units=1;epochs=10;batch_size=1;training_ratio=0.11249999999999999;sequance_length=30;learningRate=0.001,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.042368972746331245;,0.0,2688.0,2688.0,1.0
LSE Historical Data 2009.metric-High.csv,5492.386854,0.0,2.0,0.0,2685.0,lstmWeight=0.5;cnnWeight=0.5;lstmCells=10;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=30;CNNDL2units=15;CNNDL3units=1;epochs=10;batch_size=1;training_ratio=0.11249999999999999;sequance_length=30;learningRate=0.001,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.042368972746331245;,0.0,2688.0,2688.0,1.0
LSE Historical Data 2009.metric-Low.csv,23426.116243,0.0,0.0,0.0,2687.0,lstmWeight=0.5;cnnWeight=0.5;lstmCells=10;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=30;CNNDL2units=15;CNNDL3units=1;epochs=10;batch_size=1;training_ratio=0.11249999999999999;sequance_length=30;learningRate=0.001,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.042368972746331245;,0.0,2688.0,2688.0,1.0
LSE Historical Data 2017.metric-Price.csv,54618.098571,0.0,0.0,0.0,814.0,lstmWeight=0.5;cnnWeight=0.5;lstmCells=10;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=30;CNNDL2units=15;CNNDL3units=1;epochs=10;batch_size=1;training_ratio=0.11249999999999999;sequance_length=30;learningRate=0.001,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.04301521438450898;,0.0,815.0,815.0,1.0
LSE Historical Data 2017.metric-Open.csv,56023.703196,0.0,0.0,0.0,814.0,lstmWeight=0.5;cnnWeight=0.5;lstmCells=10;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=30;CNNDL2units=15;CNNDL3units=1;epochs=10;batch_size=1;training_ratio=0.11249999999999999;sequance_length=30;learningRate=0.001,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.04301521438450898;,0.0,815.0,815.0,1.0
LSE Historical Data 2017.metric-High.csv,60261.818038,0.0,12.0,0.0,802.0,lstmWeight=0.5;cnnWeight=0.5;lstmCells=10;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=30;CNNDL2units=15;CNNDL3units=1;epochs=10;batch_size=1;training_ratio=0.11249999999999999;sequance_length=30;learningRate=0.001,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.04301521438450898;,0.0,815.0,815.0,1.0
LSE Historical Data 2017.metric-Low.csv,31511.006533,0.0,0.0,0.0,814.0,lstmWeight=0.5;cnnWeight=0.5;lstmCells=10;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=30;CNNDL2units=15;CNNDL3units=1;epochs=10;batch_size=1;training_ratio=0.11249999999999999;sequance_length=30;learningRate=0.001,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.04301521438450898;,0.0,815.0,815.0,1.0
LSE Historical Data 2018.metric-Price.csv,59373.00793099999,0.0,0.0,0.0,562.0,lstmWeight=0.5;cnnWeight=0.5;lstmCells=10;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=30;CNNDL2units=15;CNNDL3units=1;epochs=10;batch_size=1;training_ratio=0.11249999999999999;sequance_length=30;learningRate=0.001,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.04268537074148296;,0.0,563.0,563.0,1.0
LSE Historical Data 2018.metric-Open.csv,67798.831126,0.0,0.0,0.0,562.0,lstmWeight=0.5;cnnWeight=0.5;lstmCells=10;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=30;CNNDL2units=15;CNNDL3units=1;epochs=10;batch_size=1;training_ratio=0.11249999999999999;sequance_length=30;learningRate=0.001,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.04268537074148296;,0.0,563.0,563.0,1.0
LSE Historical Data 2018.metric-High.csv,115526.30673,0.0,0.0,0.0,562.0,lstmWeight=0.5;cnnWeight=0.5;lstmCells=10;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=30;CNNDL2units=15;CNNDL3units=1;epochs=10;batch_size=1;training_ratio=0.11249999999999999;sequance_length=30;learningRate=0.001,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.04268537074148296;,0.0,563.0,563.0,1.0
LSE Historical Data 2018.metric-Low.csv,45512.094973,0.0,0.0,0.0,562.0,lstmWeight=0.5;cnnWeight=0.5;lstmCells=10;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=30;CNNDL2units=15;CNNDL3units=1;epochs=10;batch_size=1;training_ratio=0.11249999999999999;sequance_length=30;learningRate=0.001,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.04268537074148296;,0.0,563.0,563.0,1.0
LSE Historical Data 2019.metric-Price.csv,63049.631922,0.0,36.0,0.0,273.0,lstmWeight=0.5;cnnWeight=0.5;lstmCells=10;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=30;CNNDL2units=15;CNNDL3units=1;epochs=10;batch_size=1;training_ratio=0.11249999999999999;sequance_length=30;learningRate=0.001,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.04490909090909091;,0.0,310.0,310.0,1.0
LSE Historical Data 2019.metric-Open.csv,167897.303604,0.0,14.0,0.0,295.0,lstmWeight=0.5;cnnWeight=0.5;lstmCells=10;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=30;CNNDL2units=15;CNNDL3units=1;epochs=10;batch_size=1;training_ratio=0.11249999999999999;sequance_length=30;learningRate=0.001,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.04490909090909091;,0.0,310.0,310.0,1.0
LSE Historical Data 2019.metric-High.csv,229935.70174699998,0.0,0.0,0.0,309.0,lstmWeight=0.5;cnnWeight=0.5;lstmCells=10;CL1filters=1;CL1kernal_size=2;CL1strides=1;PL1pool_size=1;CNNDL1units=30;CNNDL2units=15;CNNDL3units=1;epochs=10;batch_size=1;training_ratio=0.11249999999999999;sequance_length=30;learningRate=0.001,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.04490909090909091;,0.0,310.0,310.0,1.0
